,User,Week,freq_week
312,user16130,2023-08,1
313,user16131,2023-03,23
314,user16131,2023-05,26
315,user16131,2023-07,28
316,user16131,2023-09,12
317,user16134,2023-05,2
318,user16134,2023-06,6
319,user16134,2023-07,2
320,user16134,2023-08,3
321,user16134,2023-09,15
322,user16136,2022-44,1
323,user16136,2023-02,32
324,user16136,2023-03,12
325,user16136,2023-05,21
326,user16136,2023-06,14
327,user16136,2023-07,22
328,user16136,2023-08,13
329,user16136,2023-09,36
330,user16139,2023-02,30
331,user16139,2023-03,3
332,user16139,2023-05,38
333,user16139,2023-06,5
334,user16139,2023-07,22
335,user16139,2023-08,17
336,user16139,2023-09,35
337,user16140,2022-44,2
338,user16140,2023-03,2
339,user16140,2023-05,5
340,user16140,2023-06,1
341,user16140,2023-07,3
342,user16140,2023-08,2
343,user16140,2023-09,12
344,user16141,2023-02,20
345,user16141,2023-03,14
346,user16141,2023-05,45
347,user16141,2023-06,1
348,user16141,2023-07,8
349,user16141,2023-09,13
350,user16142,2023-03,4
351,user16142,2023-05,7
352,user16142,2023-06,3
353,user16142,2023-07,8
354,user16142,2023-08,1
355,user16142,2023-09,4
356,user16148,2023-05,21
357,user16148,2023-07,3
358,user16148,2023-09,3
359,user16160,2022-44,5
360,user16160,2023-02,2
361,user16160,2023-03,109
362,user16160,2023-05,70
363,user16160,2023-06,2
364,user16160,2023-08,21
365,user16160,2023-09,12
366,user16164,2023-02,4
367,user16164,2023-03,11
368,user16164,2023-05,7
369,user16164,2023-06,4
370,user16164,2023-09,1
371,user16169,2023-03,4
372,user16169,2023-05,8
373,user16169,2023-09,13
374,user16171,2022-44,11
375,user16171,2023-05,18
376,user16172,2023-02,8
377,user16172,2023-03,19
378,user16172,2023-05,39
379,user16172,2023-06,1
380,user16172,2023-07,8
381,user16172,2023-08,2
382,user16172,2023-09,14
383,user16172,2023-10,5
384,user16173,2022-44,16
385,user16173,2023-02,26
386,user16173,2023-03,69
387,user16173,2023-05,17
388,user16173,2023-07,30
389,user16173,2023-08,31
390,user16173,2023-09,8
391,user16176,2023-02,25
392,user16176,2023-03,16
393,user16176,2023-05,4
394,user16176,2023-07,5
395,user16176,2023-08,13
396,user16176,2023-09,3
397,user16181,2023-02,35
398,user16181,2023-03,43
399,user16181,2023-05,10
400,user16181,2023-06,2
401,user16181,2023-07,13
402,user16181,2023-08,9
403,user16181,2023-09,44
404,user16184,2023-03,1
405,user16184,2023-05,13
406,user16184,2023-06,2
407,user16184,2023-07,10
408,user16184,2023-08,32
409,user16184,2023-09,57
410,user16184,2023-10,17
411,user16188,2023-02,4
412,user16188,2023-03,4
413,user16188,2023-05,58
414,user16188,2023-07,10
415,user16188,2023-08,17
416,user16188,2023-09,51
417,user16190,2023-03,2
418,user16190,2023-05,4
419,user16190,2023-07,5
420,user16190,2023-08,1
421,user16190,2023-09,16
422,user16194,2023-02,4
423,user16194,2023-03,3
424,user16194,2023-05,6
425,user16194,2023-06,1
426,user16194,2023-07,2
427,user16194,2023-09,8
428,user16195,2023-02,34
429,user16195,2023-03,4
430,user16195,2023-05,6
431,user16195,2023-06,16
432,user16195,2023-07,9
433,user16195,2023-08,3
434,user16195,2023-09,9
435,user16201,2023-02,1
436,user16201,2023-05,4
437,user16201,2023-06,8
438,user16201,2023-07,7
439,user16201,2023-08,4
440,user16201,2023-09,2
441,user16203,2023-02,6
442,user16203,2023-05,7
443,user16203,2023-06,3
444,user16203,2023-07,1
445,user16203,2023-08,1
446,user16203,2023-09,7
447,user16204,2023-02,3
448,user16204,2023-05,7
449,user16204,2023-06,6
450,user16204,2023-07,6
451,user16204,2023-08,1
452,user16208,2023-02,9
453,user16208,2023-03,9
454,user16208,2023-05,13
455,user16208,2023-06,4
456,user16208,2023-07,17
457,user16208,2023-08,4
458,user16208,2023-09,12
459,user16209,2023-02,52
460,user16209,2023-03,53
461,user16209,2023-05,39
462,user16209,2023-06,9
463,user16209,2023-07,12
464,user16209,2023-08,16
465,user16209,2023-09,51
466,user16212,2023-02,2
467,user16212,2023-05,6
468,user16212,2023-06,4
469,user16212,2023-08,7
470,user16212,2023-09,6
471,user16215,2023-02,7
472,user16215,2023-03,5
473,user16215,2023-05,12
474,user16215,2023-06,1
475,user16215,2023-07,17
476,user16215,2023-08,35
477,user16215,2023-09,71
478,user16215,2023-10,12
479,user16216,2023-02,32
480,user16216,2023-03,7
481,user16216,2023-05,24
482,user16216,2023-06,21
483,user16216,2023-07,21
484,user16216,2023-08,18
485,user16216,2023-09,40
486,user16218,2023-02,7
487,user16218,2023-03,8
488,user16218,2023-05,11
489,user16218,2023-07,19
490,user16218,2023-08,30
491,user16218,2023-09,110
492,user16219,2023-02,6
493,user16219,2023-05,48
494,user16219,2023-06,10
495,user16219,2023-07,3
